disease,symptoms,precautions,description
(vertigo) paroymsal  positional vertigo,"headache, loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting","lie down, avoid sudden change in body, avoid abrupt head movment, relax",benign paroxysmal positional vertigo (bppv) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
acne,"blackheads, pus_filled_pimples, scurring, skin_rash","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products","acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). acne develops on the face and upper trunk. it most often affects adolescents."
aids,"extra_marital_contacts, hyperthermia, muscle_wasting, patches_in_throat","avoid open cuts, wear ppe if possible, consult doctor, follow up","acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease."
alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin","stop alcohol consumption, consult doctor, medication, follow up","alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol"
allergy,"chills, continuous_sneezing, shivering, watering_from_eyes","apply calamine, cover area with bandage, , use ice to compress itching","an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens."
arthritis,"movement_stiffness, muscle_weakness, painful_walking, stiff_neck, swelling_joints","exercise, use hot and cold therapy, try acupuncture, massage","arthritis is the swelling and tenderness of one or more of your joints. the main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. the most common types of arthritis are osteoarthritis and rheumatoid arthritis."
bronchial asthma,"breathlessness, cough, family_history, fatigue, hyperthermia, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help","bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working."
cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor","cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
chicken pox,"fatigue, headache, hyperthermia, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places","chickenpox is a highly contagious disease caused by the varicella-zoster virus (vzv). it can cause an itchy, blister-like rash. the rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","cold baths, anti itch medicine, consult doctor, eat healthy","chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
