disease,symptoms
(vertigo) paroymsal  positional vertigo,"headache, loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting"
acne,"blackheads, pus_filled_pimples, scurring, skin_rash"
aids,"extra_marital_contacts, hyperthermia, muscle_wasting, patches_in_throat"
alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin"
allergy,"chills, continuous_sneezing, shivering, watering_from_eyes"
arthritis,"movement_stiffness, muscle_weakness, painful_walking, stiff_neck, swelling_joints"
bronchial asthma,"breathlessness, cough, family_history, fatigue, hyperthermia, mucoid_sputum"
cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs"
chicken pox,"fatigue, headache, hyperthermia, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
common cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, hyperthermia, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
dengue,"back_pain, chills, fatigue, headache, hyperthermia, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss"
dimorphic hemmorhoids(piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region"
drug reaction,"burning_micturition, itching, skin_rash, spotting_ urination, stomach_pain"
fungal infection,"dischromic _patches, itching, nodal_skin_eruptions, skin_rash"
gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting"
gerd,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting"
heart attack,"breathlessness, chest_pain, sweating, vomiting"
hepatitis a,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis b,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
hepatitis c,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin"
hepatitis d,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis e,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, hyperthermia, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance"
hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss"
hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting"
hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain"
impetigo,"blister, hyperthermia, red_sore_around_nose, skin_rash, yellow_crust_ooze"
jaundice,"abdominal_pain, dark_urine, fatigue, hyperthermia, itching, vomiting, weight_loss, yellowish_skin"
malaria,"chills, diarrhoea, headache, hyperthermia, muscle_pain, nausea, sweating, vomiting"
migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances"
osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints"
paralysis (brain hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side"
peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting"
pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, hyperthermia, malaise, phlegm, rusty_sputum, sweating"
psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_peeling, skin_rash, small_dents_in_nails"
tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, hyperthermia, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, hyperthermia, nausea, toxic_look_(typhos), vomiting"
urinary tract infection,"bladder_discomfort, burning_micturition, continuous_feel_of_urine, foul_smell_of urine"
varicose veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs"
